CODE,NAME
ADS,ALPINE DWARF-SHRUB
AGS,ANNUAL GRASSLAND
ASC,ALKALI DESERT SCRUB
ASP,ASPEN
BAR,BARREN
BBR,BITTERBRUSH
BOP,BLUE OAK-FOOTHILL PINE
BOW,BLUE OAK WOODLAND
COW,COASTAL OAK WOODLAND
CPC,CLOSED-CONE PINE-CYPRESS
CRC,CHAMISE-REDSHANK CHAPARRAL
CSC,COASTAL SCRUB
DFR,DOUGLAS-FIR
DGR,DRYLAND GRAIN CROPS
DOR,DECIDUOUS ORCHARD
DRI,DESERT RIPARIAN
DSC,DESERT SCRUB
DSS,DESERT SUCCULENT SHRUB
DSW,DESERT WASH
EOR,EVERGREEN ORCHARD
EPN,EASTSIDE PINE
EST,ESTUARINE
EUC,EUCALYPTUS
FEW,FRESH EMERGENT WETLAND
IGR,IRRIGATED GRAIN CROPS
IRF,IRRIGATED ROW AND FIELD CROPS
IRH,IRRIGATED HAYFIELD
JPN,JEFFREY PINE
JST,JOSHUA TREE
JUN,JUNIPER
KMC,KLAMATH MIXED CONIFER
LAC,LACUSTRINE
LPN,LODGEPOLE PINE
LSG,LOW SAGE
MCH,MIXED CHAPARRAL
MCP,MONTANE CHAPARRAL
MHC,MONTANE HARDWOOD-CONIFER
MHW,MONTANE HARDWOOD
MRI,MONTANE RIPARIAN
PAS,PASTURE
PGS,PERENNIAL GRASSLAND
PJN,PINYON-JUNIPER
POS,PALM OASIS
PPN,PONDEROSA PINE
RDW,REDWOOD
RFR,RED FIR
RIC,RICE
RIV,RIVERINE
SCN,SUBALPINE CONIFER
SEW,SALINE EMERGENT WETLAND
SGB,SAGEBRUSH
SMC,SIERRAN MIXED CONIFER
URB,URBAN
VIN,VINEYARD
VOW,VALLEY OAK WOODLAND
VRI,VALLEY FOOTHILL RIPARIAN
WFR,WHITE FIR
WTM,WET MEADOW
